,louvain,pseudotime
425,0,0.50136036
426,0,0.51975524
427,0,0.5131793
428,0,0.52122855
429,0,0.524605
430,0,0.4829864
431,0,0.5192157
432,0,0.49927056
433,3,0.43271375
434,0,0.5212333
435,0,0.5171169
436,0,0.5417549
437,1,0.56781363
438,0,0.49263972
439,0,0.51737136
440,0,0.53462577
441,0,0.5194105
442,0,0.53099996
443,0,0.5154947
444,0,0.521089
445,3,0.37129575
446,0,0.49878815
447,0,0.503608
448,0,0.52334714
449,0,0.5314773
450,0,0.5221291
451,1,0.5527052
452,0,0.51790947
453,0,0.5432592
454,0,0.496921
455,3,0.46190685
456,0,0.5223409
457,0,0.51698697
458,0,0.524638
459,0,0.54819816
460,0,0.5148554
461,0,0.50968564
462,0,0.5133069
463,1,0.54613256
464,0,0.53578115
465,3,0.45214525
466,0,0.5209817
467,0,0.5167614
468,0,0.5004178
469,0,0.530698
470,0,0.52010936
471,0,0.5298463
472,0,0.5049894
473,0,0.5316169
474,0,0.519788
475,0,0.5125968
476,0,0.5301328
477,0,0.5200468
478,0,0.51411927
479,0,0.52168405
480,1,0.5441667
481,0,0.49333924
482,0,0.5227937
483,0,0.48063678
484,1,0.55324274
485,0,0.51635957
486,0,0.51588076
487,0,0.5107185
488,1,0.5757901
489,0,0.51659715
490,0,0.51645905
491,1,0.5774451
492,0,0.53259444
493,0,0.5165923
494,0,0.5241989
495,0,0.50650096
496,0,0.5311296
497,0,0.5159956
498,0,0.5148384
499,0,0.483541
500,0,0.5175953
501,0,0.5356434
502,3,0.40117323
503,1,0.5863119
504,0,0.5236577
505,0,0.5288644
506,0,0.5363779
507,0,0.46195918
508,0,0.56517947
509,0,0.52041656
510,0,0.52626675
511,0,0.5169567
512,0,0.47850388
513,0,0.54036796
514,0,0.5264724
515,0,0.48549017
516,0,0.51438963
517,0,0.51613986
518,0,0.52536076
519,0,0.5109729
520,0,0.5266989
521,0,0.5117763
522,0,0.5357426
523,0,0.5217827
524,1,0.547414
525,0,0.52684003
526,0,0.5056461
527,0,0.5093247
528,0,0.52724576
529,0,0.52437925
530,0,0.5212483
531,0,0.51848966
532,0,0.47853526
533,0,0.48461804
534,0,0.5092845
535,1,0.5654501
536,0,0.5166781
537,0,0.51765686
538,0,0.5192983
539,0,0.5151869
540,1,0.5508912
541,0,0.5001885
542,0,0.5169462
543,0,0.5258711
544,0,0.5242607
545,0,0.51521635
546,3,0.46613348
547,0,0.5035183
548,0,0.50224984
549,0,0.51429886
550,0,0.5068537
551,1,0.5811405
552,0,0.47421804
553,0,0.52609104
554,0,0.5244193
555,0,0.5161804
556,0,0.5287477
557,0,0.49903166
558,0,0.4995139
559,0,0.51176006
560,0,0.52304727
561,0,0.52530706
562,0,0.5246817
563,0,0.5238475
564,0,0.5242415
565,0,0.476541
566,0,0.52673703
567,0,0.51362884
568,0,0.51496446
569,0,0.54622835
570,0,0.5197727
571,0,0.5151494
572,0,0.52243793
573,0,0.5097549
574,0,0.50554734
575,0,0.51915294
576,0,0.52330023
577,0,0.5136037
578,0,0.49207902
579,0,0.53544533
580,1,0.60246176
581,3,0.46777973
582,0,0.5506316
583,0,0.5214112
584,0,0.55211157
585,1,0.6030356
586,1,0.5646256
587,1,0.5857016
588,1,0.56745243
589,1,0.55573356
590,0,0.5195471
591,1,0.56308764
592,1,0.5878748
593,1,0.562122
594,1,0.59313506
595,1,0.5690805
596,1,0.55942667
597,1,0.5648436
598,2,0.6090927
599,0,0.5436794
600,1,0.561207
601,0,0.48006988
602,2,0.7708851
603,1,0.5710962
604,1,0.56622094
605,1,0.5861695
606,1,0.57548225
607,1,0.56736207
608,0,0.5355716
609,1,0.5561574
610,0,0.50214213
611,1,0.57548636
612,1,0.5760052
613,0,0.54787076
614,0,0.54119647
615,1,0.5681004
616,0,0.53904295
617,2,0.6258715
618,1,0.57629913
619,0,0.53032374
620,1,0.60411155
621,1,0.5593002
622,1,0.571948
623,1,0.5631948
624,0,0.5315038
625,1,0.5892913
626,0,0.5415385
627,0,0.5384504
628,1,0.5616122
629,1,0.58843243
630,1,0.55871254
631,0,0.50165653
632,1,0.56793034
633,2,0.62171304
634,1,0.5717029
635,0,0.5371748
636,0,0.5305063
637,1,0.5798739
638,2,0.6268267
639,1,0.58782077
640,1,0.5783051
641,1,0.5538462
642,0,0.5207035
643,1,0.56777877
644,0,0.54685545
645,1,0.5631676
646,1,0.5698361
647,1,0.58439165
648,0,0.5224085
649,1,0.58170205
650,0,0.532217
651,0,0.5301761
652,1,0.57348496
653,1,0.5816075
654,1,0.5656137
655,3,0.31817123
656,0,0.49622428
657,0,0.5461294
658,1,0.54679084
659,1,0.56464916
660,0,0.53279203
661,1,0.5855529
662,0,0.5372065
663,1,0.5510405
664,0,0.52766234
665,1,0.5600992
666,1,0.54257804
667,1,0.56184965
668,1,0.5889119
669,1,0.5599599
670,1,0.5750655
671,1,0.5720141
672,1,0.5809606
673,1,0.5862401
674,1,0.567094
675,1,0.58785075
676,0,0.54348934
677,0,0.53637624
678,0,0.5173914
679,0,0.5318444
680,1,0.5743091
681,3,0.45179328
682,1,0.5673739
683,0,0.54175943
684,2,0.6583294
685,1,0.5781629
686,1,0.553744
687,1,0.5654742
688,0,0.5458117
689,1,0.5612127
690,1,0.5585673
691,0,0.5052033
692,0,0.5001495
693,1,0.56447
694,3,0.46160823
695,1,0.5571562
696,0,0.52295965
697,1,0.584626
698,1,0.5761282
699,1,0.5619662
700,1,0.5537707
701,1,0.5803897
702,1,0.5582774
703,1,0.5731886
704,0,0.5341873
705,1,0.57658434
706,1,0.57675123
707,1,0.5802668
708,1,0.5822433
709,1,0.5611001
710,1,0.5762014
711,1,0.57940227
712,0,0.5010964
713,0,0.5250531
714,0,0.54932934
715,1,0.5468878
716,0,0.5311418
717,0,0.5461087
718,1,0.5626244
719,0,0.52359164
720,1,0.56424457
721,1,0.5628254
722,2,0.6255664
723,1,0.5946475
724,1,0.57366216
725,1,0.5618261
726,1,0.5823265
727,0,0.4927223
728,1,0.5505862
729,0,0.53832686
730,1,0.5571468
731,1,0.5640087
732,1,0.5652763
733,1,0.5774666
734,0,0.51843643
735,1,0.5572542
736,1,0.58703125
737,1,0.56883323
738,0,0.5128776
739,0,0.53953373
740,1,0.5545677
741,1,0.59444624
742,1,0.56175447
743,0,0.51699865
744,0,0.5525175
745,1,0.57548636
746,1,0.5757395
747,0,0.52450347
748,1,0.5622455
749,1,0.5731397
750,1,0.5674721
751,1,0.57190996
